kind,property_id,property_name,row_id,field,existing_value,proposed_value,confidence,evidence,source_url
unmatched_row,05d268d4-d3b1-479d-9104-d7c170e1fcb1,The Destination,,unit_match,,"{""site_name"":null,""unit_type"":null}",high,"Each Glamp has a private deck with room for lounging, dining and of course a relaxing soak in a private hot tub.",https://www.tdbsc.com/
value_mismatch,60398957-6aab-476e-9253-8531d1c81f4b,The Inn & Spa at Cedar Falls,10317,unit_hot_tub_or_sauna,No,Yes,high,Cottages feature in-room whirlpool tubs.,https://innatcedarfalls.com/
value_mismatch,60398957-6aab-476e-9253-8531d1c81f4b,The Inn & Spa at Cedar Falls,10318,unit_hot_tub_or_sauna,No,Yes,high,Cottages feature in-room whirlpool tubs.,https://innatcedarfalls.com/
value_mismatch,60398957-6aab-476e-9253-8531d1c81f4b,The Inn & Spa at Cedar Falls,10508,unit_hot_tub_or_sauna,No,Yes,high,Some cabins have two-person whirlpool hot tubs.,https://innatcedarfalls.com/
value_mismatch,ad312471-3062-41d1-af0a-60ece08ce1da,Camp Fimfo,10049,unit_hot_tub_or_sauna,No,Yes,high,The Hilltop Coyote Bubbly Cabin includes a private hot tub.,https://campfimfo.com/texas-hill-country
value_mismatch,c9482aca-7023-4d29-a4c3-4a40faa9a4e1,Zion Ponderosa Ranch Resort,9844,unit_hot_tub_or_sauna,Yes,No,medium,Family-friendly pool and jacuzzi located at the resort property.,https://www.zionponderosa.com/
value_mismatch,c9482aca-7023-4d29-a4c3-4a40faa9a4e1,Zion Ponderosa Ranch Resort,10544,unit_hot_tub_or_sauna,Yes,No,medium,Family-friendly pool and jacuzzi located at the resort property.,https://www.zionponderosa.com/
value_mismatch,c9482aca-7023-4d29-a4c3-4a40faa9a4e1,Zion Ponderosa Ranch Resort,10545,unit_hot_tub_or_sauna,Yes,No,medium,Family-friendly pool and jacuzzi located at the resort property.,https://www.zionponderosa.com/
value_mismatch,c9482aca-7023-4d29-a4c3-4a40faa9a4e1,Zion Ponderosa Ranch Resort,10666,unit_hot_tub_or_sauna,Yes,No,medium,Family-friendly pool and jacuzzi located at the resort property.,https://www.zionponderosa.com/
value_mismatch,c9482aca-7023-4d29-a4c3-4a40faa9a4e1,Zion Ponderosa Ranch Resort,10667,unit_hot_tub_or_sauna,Yes,No,medium,Family-friendly pool and jacuzzi located at the resort property.,https://www.zionponderosa.com/
